gene,H2O_30m_A,H2O_30m_B,H2O_30m_C,PNA79_30m_A,PNA79_30m_B,PNA79_30m_C,PNAscr_30m_A,PNAscr_30m_B,PNAscr_30m_C,H2O_16h_A,H2O_16h_B,H2O_16h_C,PNA79_16h_A,PNA79_16h_B,PNA79_16h_C,PNAscr_16h_A,PNAscr_16h_B,PNAscr_16h_C
cds-C4N14_00010,202,181,160,217,248,199,322,177,199,648,483,628,348,422,234,297,277,315
cds-C4N14_00015,229,300,243,126,372,181,290,204,188,256,187,282,273,305,182,220,236,244
cds-C4N14_00020,1798,3871,3153,2263,4154,2646,3791,2357,3617,1094,995,1304,1822,2111,1138,1657,1561,1838
cds-C4N14_00025,8622,12414,9342,6147,13442,6073,10385,6426,6159,12562,8945,11201,22014,27942,15733,8317,8002,7639
cds-C4N14_00030,803,1031,782,508,1103,569,870,665,696,226,248,294,678,1258,727,362,326,490
cds-C4N14_00035,39,58,38,22,48,18,65,41,27,45,37,50,61,154,106,56,53,70
cds-C4N14_00040,36,27,38,32,28,23,42,23,22,26,46,67,30,84,19,29,45,52
cds-C4N14_00045,29,53,33,63,74,130,77,58,50,64,79,112,68,125,62,59,65,67
cds-C4N14_00050,64,118,90,58,140,71,90,55,98,348,377,468,338,465,297,243,248,256
cds-C4N14_00055,75,100,60,65,80,61,80,39,54,398,276,396,452,498,345,256,246,235
cds-C4N14_00060,104,257,250,147,236,171,213,144,177,1123,861,1067,981,1033,620,505,551,475
cds-C4N14_00065,69,92,70,60,108,42,73,54,47,520,427,552,570,622,369,234,259,196
cds-C4N14_00070,545,948,661,375,843,373,654,468,404,1461,1127,1513,1467,2073,1168,684,765,808
cds-C4N14_00075,54,58,57,33,67,41,72,26,24,90,103,108,86,82,43,76,62,52
cds-C4N14_00085,315,271,270,532,402,473,580,321,380,112,141,115,113,92,69,190,167,188
cds-C4N14_00090,44,50,36,48,87,65,81,54,59,106,58,84,73,96,72,69,50,63
cds-C4N14_00095,13,17,8,10,20,8,22,4,6,7,5,6,15,18,7,10,10,6
cds-C4N14_00100,411,392,449,688,643,574,1015,541,656,186,261,294,316,605,367,340,411,405
cds-C4N14_00105,89,143,111,53,147,98,122,112,94,364,188,244,287,325,193,122,142,162
cds-C4N14_00110,417,476,409,264,520,308,542,296,385,2709,2319,2844,1484,1868,1103,899,932,840
cds-C4N14_00115,18,40,21,30,38,14,18,24,6,313,221,293,128,137,106,67,77,37
cds-C4N14_00120,111,91,106,147,145,134,201,103,154,684,405,549,281,343,228,182,174,198
cds-C4N14_00125,421,499,454,272,651,323,463,264,340,2015,1467,1879,3222,3210,1815,1228,1205,1009
cds-C4N14_00130,196,217,218,417,381,397,520,283,409,157,167,220,269,257,148,224,202,214
cds-C4N14_00135,48,30,25,50,35,39,47,32,33,38,38,70,27,23,11,30,25,35
cds-C4N14_00140,423,397,427,1181,931,900,1395,847,988,160,278,247,294,328,192,408,379,455
cds-C4N14_00145,101,129,104,116,157,128,192,97,79,121,106,163,170,202,143,111,111,145
cds-C4N14_00150,78,122,105,124,149,107,207,101,86,461,316,325,389,492,303,197,182,187
cds-C4N14_00155,218,230,329,1571,973,1313,2092,1199,1562,148,239,252,165,237,145,528,381,610
cds-C4N14_00160,99,181,142,118,215,141,207,124,143,224,191,246,420,642,299,203,200,212
cds-C4N14_00165,731,880,747,796,1022,749,1203,567,885,13031,6444,8379,1995,1922,1116,1737,1787,1460
cds-C4N14_00170,18,20,13,10,16,9,18,12,11,531,310,411,136,113,86,105,123,82
cds-C4N14_00175,39,35,31,20,39,31,47,21,21,537,339,414,83,102,81,114,135,117
cds-C4N14_00180,27,52,35,20,45,35,40,21,22,336,226,351,63,55,59,101,108,86
cds-C4N14_00185,115,118,88,103,163,104,189,90,69,56,51,59,116,236,113,74,83,55
cds-C4N14_00190,531,763,628,464,913,609,803,536,739,768,607,732,780,1134,612,666,656,857
cds-C4N14_00195,41,54,40,25,57,30,42,44,31,330,187,232,103,85,83,53,45,47
cds-C4N14_00200,46,78,62,63,72,39,88,46,50,1022,564,741,315,341,224,147,148,117
cds-C4N14_00205,41,59,65,25,83,47,58,36,35,665,427,485,114,235,103,105,85,101
cds-C4N14_00210,140,192,164,124,193,129,237,101,149,1058,672,801,273,352,254,192,213,210
cds-C4N14_00215,166,149,131,157,198,143,194,122,159,1137,654,873,326,384,230,234,204,211
cds-C4N14_00220,771,582,766,1332,1003,1076,1747,921,1151,112,282,244,106,125,100,387,321,438
