gene,H2O_30m_A,H2O_30m_B,H2O_30m_C,PNA79_30m_A,PNA79_30m_B,PNA79_30m_C,PNAscr_30m_A,PNAscr_30m_B,PNAscr_30m_C,H2O_16h_A,H2O_16h_B,H2O_16h_C,PNA79_16h_A,PNA79_16h_B,PNA79_16h_C,PNAscr_16h_A,PNAscr_16h_B,PNAscr_16h_C
cds-C4N14_00010,112.3237203,72.21190408,78.28576426,140.0683003,87.46109705,117.003617,121.4358792,114.7587992,105.9852857,144.2614023,124.8627381,125.1764639,81.23184525,79.97032737,72.27111606,103.6134132,92.69256822,107.0468549
cds-C4N14_00015,127.3372868,119.6882388,118.8965045,81.32998084,131.1916456,106.4203752,109.3677172,132.2643787,100.1268026,56.99215892,48.34230234,56.20981339,63.72498205,57.79845936,56.21086804,76.75067645,78.9727296,82.91883364
cds-C4N14_00020,999.7923218,1544.377241,1542.718842,1460.712275,1464.973376,1555.736535,1429.700055,1528.172258,1926.375772,243.5524291,257.2224108,259.9205555,425.3000634,400.04114,351.4723507,578.0721404,522.3577581,624.6099026
cds-C4N14_00025,4794.332257,4952.699322,4570.910061,3967.741208,4740.532526,3570.66817,3916.495668,4166.32793,3280.217964,2796.623048,2312.416548,2232.645815,5138.614487,5295.09689,4859.151577,2901.524437,2677.710942,2595.971189
cds-C4N14_00030,446.5145909,411.3285807,382.6216728,327.9018275,388.9902824,334.5480304,328.1031517,431.1559405,370.6822054,50.3133903,64.11171647,58.60172034,158.2620433,238.394957,224.5346213,126.2897494,109.0894485,166.5173298
cds-C4N14_00035,21.68626282,23.13972617,18.59286901,14.20047285,16.92795427,10.58324174,24.51345387,26.58254671,14.37991314,10.01815294,9.565054473,9.96627897,14.2389154,29.1834844,32.73819787,19.53653582,17.73540114,23.78818998
cds-C4N14_00040,20.01808876,10.77194149,18.59286901,20.65523323,9.87463999,13.52303111,15.8394625,14.91216035,11.71696626,5.78826614,11.89168934,13.35481382,7.00274528,15.91826422,5.868167543,10.11713462,15.05835946,17.67122684
cds-C4N14_00045,16.12568261,21.14492219,16.14643888,40.66499042,26.09726283,76.43452365,29.03901458,37.60457827,26.62946878,14.24803973,20.42268387,22.32446489,15.8728893,23.68789318,19.14875725,20.58313596,21.75096366,22.76869612
cds-C4N14_00050,35.58771335,47.07737393,44.0357424,37.43761023,49.37319995,41.74500907,33.94170535,35.65951388,52.19375881,77.47371603,97.46014963,93.28437116,78.89759683,88.11896262,91.72872423,84.77461081,82.98829212,86.99680906
cds-C4N14_00055,41.70435158,39.8960796,29.3571616,41.9559425,28.21325711,35.86543033,30.17040476,25.28583711,28.75982628,88.60499707,71.35013607,78.93292944,105.5080289,94.37256642,106.5535685,89.30987806,82.3190317,79.86035207
cds-C4N14_00060,57.83003419,102.5329246,122.3215067,94.88497765,83.22910848,100.5407965,80.32870267,93.36309087,94.26831948,250.0085721,222.5814027,212.6803932,228.9897707,195.7567492,191.4875725,176.1776891,184.3812458,161.4198606
cds-C4N14_00065,38.36800345,36.70439323,34.25002186,38.7285623,38.0878971,24.69423072,27.53049434,35.01115908,25.03170065,115.7653228,110.3858989,110.0277198,133.0521603,117.8709565,113.9659907,81.63481041,86.66922444,66.60693194
cds-C4N14_00070,303.0516215,378.2148346,323.4180636,242.0535144,297.2971968,219.3082871,246.6430589,303.4300453,215.1661078,325.256032,291.3463889,301.5796016,342.4342442,392.8400205,360.7378784,238.6248304,255.9921108,274.5836786
cds-C4N14_00075,30.02713314,23.13972617,27.88930352,21.30070927,23.62860283,24.10627284,27.15336428,16.85722474,12.78214501,20.03630587,26.62704353,21.52716257,20.07453647,15.53925793,13.2805897,26.51387005,20.74707303,17.67122684
cds-C4N14_00085,175.1582766,108.1183757,132.1072272,343.3932524,141.771617,278.1040745,218.7354345,208.1218901,202.3839627,24.93406953,36.45061299,22.92244163,26.37700722,17.43428938,21.31071371,66.28467512,55.8832451,63.88828165
cds-C4N14_00090,24.46655293,19.9480398,17.61429696,30.98284984,30.68191711,38.21726182,30.54753482,35.01115908,31.42277316,23.5983158,14.99386917,16.74334867,17.04001352,18.19230196,22.23726648,24.07180307,16.73151051,21.40937098
cds-C4N14_00095,7.228754274,6.782333532,3.914288213,6.454760384,7.053314278,4.703662994,8.296861309,2.593419191,3.195536254,1.558379345,1.292574929,1.195953476,3.50137264,3.411056618,2.161956463,3.488667112,3.346302102,2.038987712
cds-C4N14_00100,228.5398467,156.392632,219.689426,444.0875144,226.764054,337.4878198,382.7870104,350.7599456,349.3786304,41.40836546,67.47241128,58.60172034,73.76225029,114.649403,113.3482889,118.6146818,137.5330164,137.6316706
cds-C4N14_00105,49.48916387,57.05139383,54.31074896,34.21023004,51.84185995,57.61987167,46.00986726,72.61573735,50.06340131,81.03572596,48.60081732,48.63544137,66.99292985,61.58852226,59.6082282,42.56173876,47.51748985,55.05266823
cds-C4N14_00110,231.8761948,189.9053389,200.1179849,170.4056741,183.3861712,181.0910253,204.4044922,191.9130201,205.0469096,603.0928067,599.496252,566.8819478,346.4024665,353.9918757,340.6625684,313.6311733,311.8753559,285.4582797
cds-C4N14_00115,10.00904438,15.95843184,10.27500656,19.36428115,13.40129713,8.231410239,6.788341071,15.56051515,3.195536254,69.6818193,57.13181185,58.40239476,29.87837986,25.96193092,32.73819787,23.37406965,25.76652618,12.57375756
cds-C4N14_00120,61.72244034,36.30543244,51.86431882,94.88497765,51.13652852,78.78635514,75.80314196,66.78054417,82.01876385,152.2759246,104.6985692,109.4297431,65.59238079,64.99957888,70.41801052,63.49374143,58.22565657,67.28659451
cds-C4N14_00125,234.1004269,199.0814372,222.1358561,175.5694824,229.5853798,189.9103934,174.6112175,171.1656666,181.0803877,448.5906259,379.2414841,374.5327637,752.0948431,608.3050968,560.5644258,428.4083213,403.2294033,342.889767
cds-C4N14_00130,108.9873721,86.57449273,106.6643538,269.163508,134.365637,233.4192761,196.1076309,183.4844078,217.8290546,34.95222246,43.17200262,43.85162747,62.79128268,48.70230838,45.70993665,78.1461433,67.59530246,72.72389507
cds-C4N14_00135,26.69078501,11.96882388,12.23215067,32.27380192,12.34329999,22.93035709,17.7251128,20.74735353,17.5754494,8.45977359,9.823569459,13.95279056,6.302470752,4.358572345,3.397360157,10.46600133,8.365755254,11.89409499
cds-C4N14_00140,235.2125429,158.387436,208.9251334,762.3072014,328.3317797,529.1620868,526.096433,549.1565137,526.1983031,35.62009932,71.86716604,49.23341811,68.62690375,62.1570317,59.29937728,142.3376182,126.8248497,154.6232349
cds-C4N14_00145,56.16186013,51.46594268,50.88574677,74.87522046,55.36851708,75.2586079,72.40897142,62.89041538,42.07456067,26.93770011,27.40258849,32.49006944,39.68222326,38.27963538,44.16568203,38.72420494,37.14395333,49.27553638
cds-C4N14_00150,43.37252564,48.67321711,51.3750328,80.03902876,52.54719137,62.91149254,78.06592231,65.48383457,45.8026863,102.6304112,81.6907355,64.7808133,90.8022638,93.23554755,93.58182977,68.7267421,60.90269825,63.54845037
cds-C4N14_00155,121.2206486,91.76098308,160.9751028,1014.042856,343.1437396,771.9886888,788.9560844,777.3774025,831.9046047,32.94859188,61.78508159,50.23004601,38.51509904,44.91224547,44.78338388,184.2016235,127.4941101,207.2970841
cds-C4N14_00160,55.04974408,72.21190408,69.47861578,76.16617253,75.82312849,82.90206026,78.06592231,80.39599492,76.16028071,49.86813905,49.37636228,49.03409253,98.03843392,121.6610194,92.34642607,70.81994236,66.92604204,72.0442325
cds-C4N14_00165,406.4784134,351.0855005,365.4966619,513.7989266,360.4243596,440.3804478,453.6874616,367.6171703,471.3415974,2901.034464,1665.870568,1670.14903,465.6825611,364.2250455,344.6776304,605.9814773,597.9841856,496.1536767
cds-C4N14_00170,10.00904438,7.97921592,6.360718346,6.454760384,5.642651423,5.291620868,6.788341071,7.780257573,5.858483132,118.2142046,80.13964558,81.92281313,31.7457786,21.41385543,26.56117941,36.63100467,41.15951585,27.8661654
cds-C4N14_00175,21.68626282,13.96362786,15.16786683,12.90952077,13.75396284,18.2266941,17.7251128,13.61545075,11.18437689,119.5499584,87.63658017,82.52078987,19.37426194,19.32932083,25.01692479,39.77080507,45.17507837,39.76026039
cds-C4N14_00180,15.01356657,20.74596139,17.12501093,12.90952077,15.86995713,20.5785256,15.08520238,13.61545075,11.71696626,74.80220858,58.42438678,69.96327837,14.70576509,10.422673,18.22220448,35.23553783,36.1400627,29.22549054
cds-C4N14_00185,63.94667242,47.07737393,43.05717034,66.48403196,57.48451137,61.14761892,71.27758124,58.3519318,36.74866692,12.46703476,13.18426427,11.76020918,27.07728175,44.72274232,34.90015434,25.81613663,27.77430744,18.6907207
cds-C4N14_00190,295.2668092,304.4070873,307.2716247,299.5008818,321.9837968,358.0663454,302.8354378,347.5181716,393.5835486,170.9764768,156.9185964,145.9063241,182.0713773,214.8965669,189.0167651,232.3452296,219.5174179,291.2354116
cds-C4N14_00195,22.79837886,21.54388298,19.57144107,16.13690096,20.10194569,17.63873623,15.8394625,28.5276111,16.51027064,73.46645486,48.34230234,46.24353442,24.0427588,16.10776736,25.63462664,18.48993569,15.05835946,15.97207041
cds-C4N14_00200,25.57866897,31.11894209,30.33573365,40.66499042,25.3919314,22.93035709,33.18744523,29.8243207,26.62946878,227.5233844,145.802452,147.7002543,73.52882544,64.62057259,69.18260682,51.28340654,49.52527111,39.76026039
cds-C4N14_00205,22.79837886,23.53868696,31.80359173,16.13690096,29.27125425,27.63402009,21.87354345,23.34077272,18.64062815,148.0460378,110.3858989,96.67290601,26.61043207,44.53323918,31.8116451,36.63100467,28.44356787,34.32295982
cds-C4N14_00210,77.84812295,76.60047283,80.24290837,80.03902876,68.06448278,75.84656577,89.3798241,65.48383457,79.35581697,235.5379068,173.7220704,159.6597891,63.72498205,66.70510719,78.44813452,66.98240854,71.27623477,71.36456993
cds-C4N14_00215,92.30563149,59.4451586,64.09646949,101.339738,69.82781135,84.07797601,73.16323154,79.09928532,84.68171072,253.1253308,169.0688007,174.0112308,76.09649871,72.76920785,71.03571236,81.63481041,68.26456288,71.70440122
cds-C4N14_00220,428.7207342,232.1951833,374.7930964,859.7740832,353.7237111,632.6426726,658.8462139,597.1347687,613.0103713,24.93406953,72.90122598,48.63544137,24.74303332,23.68789318,30.88509233,135.0114172,107.4162975,148.846103
cds-C4N14_00225,309.1682597,303.210205,250.0251596,199.4520959,318.4571397,383.348534,166.6914863,300.1882714,281.7397797,50.75864154,55.83923692,63.78418541,132.5853106,101.1946797,89.56676776,125.9408827,119.7976152,150.2054281
cds-C4N14_00230,37.25588741,24.73556935,34.25002186,90.36664538,46.90453995,65.85128191,62.22645981,68.07725376,60.71518882,84.15248465,72.90122598,67.17272026,38.51509904,34.11056618,40.45947096,61.40054116,47.85212006,51.65435538
cds-C4N14_00235,510.4612633,295.230989,441.335996,946.2678723,412.971551,735.5353006,751.9973386,643.8163142,691.3010096,238.2094142,279.7132146,240.3866488,153.8269713,134.9262395,134.0413007,223.6235618,178.0232718,238.5615623
cds-C4N14_00240,85.63293524,50.2690603,71.43575989,94.23950161,67.00648564,85.25389176,90.51121428,92.71473608,102.2571601,76.13796231,67.73092627,72.95316206,61.62415847,53.43988701,57.44627174,52.33000667,60.90269825,68.30608836
cds-C4N14_00245,38.92406147,45.08256995,45.01431445,81.32998084,42.31988567,63.49945041,58.83228928,52.51673862,67.10626133,88.82762269,64.11171647,51.02734833,46.21811885,40.55367312,38.91521634,41.16627192,43.83655753,53.35351181
cds-C4N14_00250,4.448464168,15.16051025,14.6785808,18.71880511,17.98595141,14.11098898,11.31390178,8.428612371,10.65178751,38.73685802,31.53882826,33.08804618,27.54413144,24.25640262,26.56117941,14.30353516,13.71983862,17.33139556
cds-C4N14_00255,136.7902732,105.7246109,114.9822163,149.7504409,109.679037,170.5077835,124.0757896,135.5061527,181.6129771,208.8228323,140.1151223,145.3083474,153.3601216,141.3693465,124.775773,103.9622799,96.70813074,97.87141019
cds-C4N14_00260,66.1709045,73.40878646,67.52147168,76.81164857,71.23847421,78.78635514,88.62556398,65.48383457,91.07278323,34.50697122,43.17200262,33.68602292,73.52882544,79.02281164,81.22779283,51.98113996,45.50970858,51.31452409
cds-C4N14_00265,220.7550344,248.9515367,235.3465788,361.4665815,260.6199626,268.1087906,343.1883541,279.4409178,337.6616641,320.1356427,302.7210483,267.295602,320.0254593,261.1353344,272.0976634,263.0455002,220.5213085,203.2191087
cds-C4N14_00270,549.9413828,519.8459172,546.5324918,726.1605432,516.6552709,638.5222514,678.8341071,654.8383457,611.9451926,296.3147013,287.7271791,286.231532,292.7147527,338.831624,310.086327,384.4511157,349.6885696,392.1653033
cds-C4N14_00275,189.0597272,176.7396326,183.48226,157.4961534,157.6415741,200.4936351,151.983414,187.3745365,187.4714602,273.3842623,241.4529967,239.1906953,241.828137,141.5588496,177.8981318,257.8124995,278.7469651,308.2269759
cds-C4N14_00280,397.025427,477.5560728,424.7002711,370.5032461,422.4935253,418.6260064,403.1520336,398.0898458,378.1384567,380.4671859,375.3637593,394.0666705,401.0238797,498.2037693,470.3799562,407.4763186,378.1321375,438.7221894
cds-C4N14_00285,266.9078501,298.0237146,292.5930439,349.2025368,319.8678025,325.1407044,334.8914928,339.737914,354.7045242,26.04719763,43.94754758,40.6624182,65.35895595,117.4919502,115.2013944,63.84260814,76.29568792,93.1137722
cds-C4N14_00290,24.46655293,25.13453015,18.59286901,20.00975719,20.80727712,21.75444135,20.36502321,29.1759659,13.84732377,6.233517382,7.496934587,12.15886034,10.03726824,13.07571703,13.2805897,11.16373476,5.688713573,11.89409499
